Outcome,Sequence,Num_Passes,Pass_Outcomes
Pass failed,Valdés → Busquets → Abidal → Xavi → Iniesta → Dani Alves → Messi → Xavi → Iniesta → Pedro → Abidal → Busquets → Messi → Pedro → Mascherano → Valdés,16,"[{'from': 'Valdés', 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Valdés'), 'success': np.True_}, {'from': np.str_('Valdés'), 'to': np.str_('Villa'), 'success': np.False_}]"
Success,Valdés → Mascherano → Dani Alves → Xavi → Iniesta → Messi → Busquets → Abidal → Xavi → Villa,9,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Pass failed,Valdés,1,"[{'from': 'Valdés', 'to': np.str_('Pedro'), 'success': np.False_}]"
Success,Valdés → Mascherano → Busquets → Dani Alves → Messi → Villa,5,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Piqué → Xavi → Dani Alves → Xavi → Messi → Iniesta → Messi → Iniesta → Busquets → Dani Alves → Villa,11,"[{'from': 'Valdés', 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Busquets → Abidal → Iniesta → Busquets → Xavi → Messi → Mascherano → Dani Alves → Villa,9,"[{'from': 'Valdés', 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Mascherano → Busquets → Iniesta → Messi → Xavi → Messi → Busquets → Dani Alves → Villa,9,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Mascherano → Xavi → Messi → Busquets → Abidal → Pedro → Abidal → Messi → Xavi → Iniesta → Dani Alves → Villa,12,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Mascherano → Messi → Xavi → Iniesta → Xavi → Villa,6,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Dani Alves → Busquets → Abidal → Busquets → Iniesta → Xavi → Dani Alves → Messi → Xavi → Abidal → Piqué → Mascherano → Dani Alves → Villa,14,"[{'from': 'Valdés', 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Mascherano → Xavi → Messi → Villa,4,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Dani Alves → Iniesta → Xavi → Pedro → Xavi → Mascherano → Messi → Piqué → Busquets → Villa,10,"[{'from': 'Valdés', 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Villa'), 'success': np.True_}]"
Pass failed,Valdés,1,"[{'from': 'Valdés', 'to': np.str_('Villa'), 'success': np.False_}]"
Success,Valdés → Mascherano → Villa,2,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Piqué → Abidal → Xavi → Iniesta → Pedro → Busquets → Villa,7,"[{'from': 'Valdés', 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Mascherano → Abidal → Xavi → Busquets → Iniesta → Xavi → Villa,7,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Mascherano → Piqué → Mascherano → Dani Alves → Messi → Xavi → Pedro → Iniesta → Villa,9,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Busquets → Messi → Dani Alves → Villa,4,"[{'from': 'Valdés', 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Mascherano → Xavi → Iniesta → Busquets → Abidal → Piqué → Valdés → Dani Alves → Iniesta → Pedro → Abidal → Xavi → Messi → Busquets → Dani Alves → Xavi → Messi → Mascherano → Villa,19,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Valdés'), 'success': np.True_}, {'from': np.str_('Valdés'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Xavi → Villa,2,"[{'from': 'Valdés', 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Piqué → Iniesta → Busquets → Villa,4,"[{'from': 'Valdés', 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Mascherano → Messi → Xavi → Busquets → Iniesta → Abidal → Pedro → Abidal → Iniesta → Dani Alves → Villa,11,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Piqué → Valdés → Xavi → Iniesta → Dani Alves → Villa,6,"[{'from': 'Valdés', 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Valdés'), 'success': np.True_}, {'from': np.str_('Valdés'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Dani Alves → Xavi → Abidal → Xavi → Busquets → Piqué → Mascherano → Xavi → Dani Alves → Messi → Villa,11,"[{'from': 'Valdés', 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Mascherano → Piqué → Xavi → Iniesta → Messi → Iniesta → Xavi → Abidal → Busquets → Villa,10,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Villa'), 'success': np.True_}]"
Pass failed,Valdés,1,"[{'from': 'Valdés', 'to': np.str_('Villa'), 'success': np.False_}]"
Success,Valdés → Mascherano → Piqué → Busquets → Dani Alves → Messi → Iniesta → Xavi → Abidal → Xavi → Villa,10,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Pass failed,Valdés,1,"[{'from': 'Valdés', 'to': np.str_('Pedro'), 'success': np.False_}]"
Success,Valdés → Mascherano → Dani Alves → Xavi → Messi → Busquets → Villa,6,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Piqué → Xavi → Messi → Iniesta → Dani Alves → Xavi → Villa,7,"[{'from': 'Valdés', 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Busquets → Abidal → Messi → Xavi → Villa,5,"[{'from': 'Valdés', 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Dani Alves → Villa,2,"[{'from': 'Valdés', 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Mascherano → Xavi → Pedro → Iniesta → Messi → Dani Alves → Busquets → Abidal → Xavi → Villa,10,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Xavi → Villa,2,"[{'from': 'Valdés', 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Mascherano → Villa,2,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Villa'), 'success': np.True_}]"
Success,Valdés → Xavi → Pedro → Abidal → Iniesta → Busquets → Xavi → Messi → Dani Alves → Villa,9,"[{'from': 'Valdés', 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Villa'), 'success': np.True_}]"
Pass failed,Valdés → Mascherano,2,"[{'from': 'Valdés', 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Iniesta'), 'success': np.False_}]"
Pass failed,Valdés → Busquets → Messi → Pedro → Iniesta → Piqué → Xavi → Mascherano → Messi → Xavi → Dani Alves → Busquets → Abidal → Piqué → Valdés,15,"[{'from': 'Valdés', 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Valdés'), 'success': np.True_}, {'from': np.str_('Valdés'), 'to': np.str_('Pedro'), 'success': np.False_}]"
Success,Valdés → Dani Alves → Busquets → Abidal → Iniesta → Pedro → Iniesta → Messi → Xavi → Mascherano → Piqué → Xavi → Mascherano → Piqué → Xavi → Villa,15,"[{'from': 'Valdés', 'to': np.str_('Dani Alves'), 'success': np.True_}, {'from': np.str_('Dani Alves'), 'to': np.str_('Busquets'), 'success': np.True_}, {'from': np.str_('Busquets'), 'to': np.str_('Abidal'), 'success': np.True_}, {'from': np.str_('Abidal'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Pedro'), 'success': np.True_}, {'from': np.str_('Pedro'), 'to': np.str_('Iniesta'), 'success': np.True_}, {'from': np.str_('Iniesta'), 'to': np.str_('Messi'), 'success': np.True_}, {'from': np.str_('Messi'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Mascherano'), 'success': np.True_}, {'from': np.str_('Mascherano'), 'to': np.str_('Piqué'), 'success': np.True_}, {'from': np.str_('Piqué'), 'to': np.str_('Xavi'), 'success': np.True_}, {'from': np.str_('Xavi'), 'to': np.str_('Villa'), 'success': np.True_}]"
